x_val,y_val,depth,delta,LeafId,originLeaf
899.8628257887517,1308.3908587139767,6,1.3717421124828528,43,31
-74.07407407407406,473.0481821996834,3,37.03703703703703,44,9
0.0,418.9829,3,37.03703703703703,45,9
74.07407407407406,364.9176178003165,3,37.03703703703703,46,9
938.2716049382715,1081.9824556139652,4,12.345679012345677,47,19
962.9629629629628,779.9915454367089,4,12.345679012345677,48,19
987.6543209876542,408.077919768608,4,12.345679012345677,49,19
855.9670781893003,1131.089620364652,5,4.115226337448559,50,20
864.1975308641975,1197.9371908007706,5,4.115226337448559,51,20
872.4279835390946,1250.2929278139704,5,4.115226337448559,52,20
886.145404663923,1302.5070059151997,6,1.3717421124828528,53,30
888.8888888888888,1307.447723254808,6,1.3717421124828528,54,30
891.6323731138546,1310.5138441838894,6,1.3717421124828528,55,30
148.14814814814815,475.95845857736316,3,37.03703703703703,56,10
222.2222222222222,259.4399109716285,3,37.03703703703703,57,10
296.29629629629625,714.6438255122214,3,37.03703703703703,58,10
-469.1358024691358,571.7154851281039,4,12.345679012345677,59,24
-444.44444444444446,769.6817413477598,4,12.345679012345677,60,24
-419.7530864197531,837.7794106763133,4,12.345679012345677,61,24
-724.2798353909465,1127.515115406819,5,4.115226337448559,62,28
-716.0493827160493,1133.9273157179582,5,4.115226337448559,63,28
-707.8189300411522,1123.358981436059,5,4.115226337448559,64,28
902.6063100137172,1303.9048527197897,6,1.3717421124828528,65,38
905.349794238683,1297.5373533072511,6,1.3717421124828528,66,38
908.0932784636487,1289.298887285719,6,1.3717421124828528,67,38
370.3703703703704,276.3064873212546,3,37.03703703703703,68,14
444.44444444444446,68.2840586522401,3,37.03703703703703,69,14
518.5185185185185,783.5921580220861,3,37.03703703703703,70,14
493.82716049382714,532.0805622383494,4,12.345679012345677,71,70
518.5185185185185,783.5921580220861,4,12.345679012345677,72,70
543.2098765432098,944.6159753567637,4,12.345679012345677,73,70
930.0411522633743,1158.5590168958302,5,4.115226337448559,74,47
938.2716049382715,1081.9824556139652,5,4.115226337448559,75,47
946.5020576131686,992.2849653684979,5,4.115226337448559,76,47
877.9149519890259,1276.5912177724958,6,1.3717421124828528,77,29
880.6584362139916,1287.059364016779,6,1.3717421124828528,78,29
883.4019204389574,1295.7050870942849,6,1.3717421124828528,79,29
592.5925925925926,839.7312528779416,3,37.03703703703703,80,15
666.6666666666666,-3.9069709640751853,3,37.03703703703703,81,15
740.7407407407406,-226.40126224054654,3,37.03703703703703,82,15
567.9012345679013,966.5009839791858,4,12.345679012345677,83,80
592.5925925925926,839.7312528779416,4,12.345679012345677,84,80
617.283950617284,594.0418508181804,4,12.345679012345677,85,80
-748.9711934156378,1008.9148300117688,5,4.115226337448559,86,27
-740.7407407407406,1064.3670622405466,5,4.115226337448559,87,27
-732.5102880658435,1104.1776821491471,5,4.115226337448559,88,27
910.8367626886144,1279.2038754760433,6,1.3717421124828528,89,39
913.5802469135801,1267.2705848121902,6,1.3717421124828528,90,39
916.3237311385459,1253.521072817728,6,1.3717421124828528,91,39
-962.9629629629628,57.97425456329108,3,37.03703703703703,92,5
-888.8888888888888,-469.48192325480784,3,37.03703703703703,93,5
